airport,2019K1,2019K2,2019K3,2019K4,2020K1,2020K2,2020K3,2020K4,2021K1,2021K2,2021K3,2021K4
Oslo_Gardermoen,6271721,7411756,8127584,6665490,4921383,717080,2063376,1288351,788458,1122905,3304528,4155719
Stavanger_Sola,971267,1123122,1149505,1058116,768524,195206,396085,317433,229124,307017,568135,712031
Bergen_Flesland,1408749,1730321,1832449,1587866,1163543,342664,694158,565095,442133,592294,1027275,1269077
Trondheim_Værnes,1017713,1135161,1138161,1091869,807808,194616,451474,381824,241306,343469,680166,865190
Alta,87542,99602,108366,84556,71982,23698,64318,42949,35167,51685,93972,75418
Andenes_Andøya,14639,16743,19662,13944,12818,13212,22741,12718,9894,15514,22544,16105
Bardufoss,52631,67440,68276,58162,48181,22744,37611,25832,22043,27729,41531,37004
Berlevåg,5752,5799,5498,5321,4200,1569,6283,4554,3290,5309,7827,6073
Bodø,451474,513320,552713,489735,382269,147050,349277,232239,162695,266010,464480,398714
Brønnøysund_Brønnøy,30384,36869,41969,33524,29371,26268,36938,22259,20349,30704,37911,28837
Båtsfjord,10119,9824,10075,9381,8196,5461,10066,7771,6189,10322,14348,11647
Florø,36360,37247,40276,45407,41627,16604,30488,26479,25222,27268,32431,34411
Førde Bringeland,21721,22132,20660,21338,15933,1610,9019,7758,4805,6856,13369,15311
Hammerfest,44468,47973,45484,45074,33189,24412,44414,39609,33672,49338,63569,50586
Harstad_Narvik Evenes,169659,198579,236822,174571,144527,46914,132789,76837,52971,93325,234970,165600
Hasvik,10390,11230,11482,9012,9208,5235,12317,8551,7504,11068,15480,11314
Haugesund_Karmøy,136780,159032,161710,162248,116192,22811,53598,42959,27983,37221,80877,150330
Honningsvåg Valan,8735,9965,9495,9018,6782,5174,9692,6649,5070,11131,13354,8660
Kirkenes_Høybuktmoen,72894,84185,90308,70316,56793,20610,58123,35917,27223,40318,72993,56571
Kristiansand_Kjevik,239312,282277,281850,260005,182841,38706,93257,69761,46514,63738,134393,151917
Kristiansund_Kvernberget,71104,81628,91867,85793,66478,44361,56425,45441,34159,43032,57811,69020
Lakselv_Banak,14078,14981,16776,13770,11658,8014,15629,11099,10135,11362,18040,15396
Mehamn,7960,7958,7834,8282,6774,4047,9041,6439,5187,9454,12067,8821
Mo i Rana Røssvold,25635,28744,26728,28648,20458,4240,25373,17527,13825,24460,34194,30620
Molde Årø,96943,108773,111825,116423,80262,22982,47205,37152,21404,32464,63653,75679
Mosjøen Kjærstad,16617,20298,21430,17756,12872,5130,21307,14011,10590,18538,23300,22662
Namsos,13842,13947,13935,13718,9951,5813,10174,8673,7362,11048,14578,14596
Røros,6702,6575,6154,6933,5323,4043,6696,4468,621,784,2234,2712
Rørvik Ryum,11095,11230,11251,12870,10401,5937,13013,8593,5379,10150,13115,13063
Røst,5201,5865,5758,4493,3814,3796,5619,3116,2005,4412,6676,4218
Sandane Anda,12339,12511,12843,11249,8329,2981,11058,6795,3531,7453,14728,10878
Sandefjord Torp,437278,556009,581280,482137,349260,17501,172924,86445,56823,75876,256320,303248
Sandnessjøen Stokka,19612,21637,21623,19049,15931,12123,22686,13061,9944,16494,24043,18768
Sogndal Haukåsen,25435,27243,26292,25837,20162,16443,25463,15964,11528,18841,31405,26078
Stokmarknes Skagen,28661,27548,26443,27963,21634,3464,18651,19410,14210,25989,31345,31534
Stord Sørstokken,9782,9772,8720,10197,7350,238,2096,2992,657,3038,4729,7299
Svalbard Longyear,39957,61268,61612,23706,27937,5476,22131,13444,13829,17271,29190,23011
Svolvær Helle,23081,25469,28252,21697,17329,4804,20841,12643,9455,17398,29193,18050
Sørkjosen,6597,7197,7741,7291,5229,1231,8334,6678,5387,6899,9433,7184
Tromsø Langnes,649792,579845,624179,614439,550165,154010,347414,281705,207730,279960,549537,562338
Vadsø,32760,32013,30948,32065,26667,18513,34695,24973,18756,29866,44887,35168
Vardø Svartnes,11590,12479,12354,11064,8447,1767,12864,9089,5914,11400,16918,13107
Vestvågøy Leknes,31404,34095,38036,30757,27393,17239,29020,19367,15149,19041,27998,22271
Værøy,1794,1416,2388,1914,1424,1205,2054,1554,1148,1816,2584,1692
Ørland,5767,6005,4709,5617,4143,1402,1870,2629,1791,2651,3464,4911
Ørsta-Volda Hovden,28499,28371,27137,27465,20885,10319,16408,13167,11816,15807,22084,24862
Ålesund Vigra,258349,306361,306572,283822,202861,48401,115419,91805,55509,71016,174859,206255
